tweet,sentiment
nope done Was supposed to get home at pm and didnt get home until midnight NeverAgain,negative
captain on flight from PHXPHL at tonight was hilarious Greetings from the pointy end of the airplane haha thanks,positive
have scheduled flight Satmorrow CHOCLT CHO needs to be added to weather advisory Please evaluate asap,neutral
I understand the intent was not to inconvenience but catching a cab back to the airport to show them wet clothes wasnt an option,negative
your service is horrible I cant get a straight answer from your ground agents,negative
What idiot designed your seats Armrest TV remote amp resting elbows dont mix Seatmate keeps changing channels amp blasting volume,negative
thanks Line moved quick Already done,positive
Done and done,neutral
i need to change my flight thats scheduled in hours and min wait time on phone Im calling intern Help,negative
what link Those are all the email offers u sent me in a year to buytransfer milesThe last just expired,negative
remember in business a pleasant experience means you will tell a friend A bad experience means you will tell everyone you see,negative
NOW theyre not even accepting calls AT ALL Come on,negative
According to your costumer support your website is holding my money hostage and you cant do anything about it,negative
an hour at baggage carousel and still no luggage Nail in the coffin,negative
perfect Probably need some coffee to stay awake during the night,positive
we were able to get on the moon flight Just got to our hotel in Puerto Rico Thank you,positive
can I get some help changing a ticket minutes on hold and counting,negative
I would,neutral
stuck at gate Miami to JFK flight Are we going to get out of here tonight Very frustrating,negative
make that hours now,negative
I am impressed with your superfast reply to,positive
thank you Been trying for two days to set this up,positive
But Eagle is always Late Flight,negative
Cancelled Flights my flight to NY times then once I make it here they decided for SampGs theyll Cancelled Flight my return flight too Thanks,negative
Your new mileage policy is awful Before I might have paid slightly more for United because of miles Now theres no difference,negative
Thanks Yes I got through Biggest frustration is that Im no longer able to check in online for my flight after Cancelled Flights,negative
thats what you have said for years you are losing customers,negative
how about some sweet promo code to help me visit my family Please Lol,neutral
unacceptable You knew the pilot wouldnt be able to complete the trip Wasted all of our time,negative
Our fleets on fleek I have to refrain what I want to say,neutral
is your website ever coming back online,neutral
no standby line update online or on app either is troubling,negative
Youll be receiving a long amp detailed complaint letter soon Long story short never flying USAir again,negative
chair selfie Everyone looks FLAWLESS Were so PROUD of our PHL crew BlueHeros,positive
is ELP Friendly flyerfriendly united emb elpaso,positive
on hold minutes trying to rebook Cancelled Flightled flight Really,negative
thanks already subscribe and have a RR Account Had received a promo code last month but has since expired Any new offers,positive
um down south has snow too ATL,neutral
you have open seats on flight pvd to MCO pm today,neutral
will do on another airline thats more accommodating of its customers Unable to simply change passengers with notice is simply,negative
hour hold times at the momentand counting disgrace,negative
I thought about moving a lot of business over too but first impressions count Glad it was miles and not cash,negative
following you now,neutral
I owe you an apology My tweet was out of frustration not constructive criticism Im a SW fan amp LOVE your service,positive
is by far the worst airline ever,negative
Hi How do I claim points on a flowers order after I purchased I totally forgot to put in the promo code,neutral
Ive been standing on a very crowded bus for the past mins for DCAPIT HELP,negative
even alternate options are allready fulleven with hotel voucherno more room in philly,negative
delayed blue skies all over whyisusairALWAYSDELAYED,negative
your app is bad and you should feel bad,negative
Well being on time is not going to happen now Safety does come at Looks like Ill have look another flight now stTimeFlyer,negative
its and the desk attendant stated we would sit awhile until given the all clear Lack of communication seems to the norm,negative
Seat A Flight UA,neutral
First the pilot was Late Flight now its maintenance This is EXACTLY what happened two weeks ago Unacceptable,negative
Whoooo Hooooo just crossed At my current pace I should reach for the year,positive
Maybe stop telling people the wrong info on your customer service calls,negative
I have a voucher from a past trip that was delayed I thought I had to talk to someone on the phone to use it Is that not true,negative
you only hear about the bad things Flying the last to weekends the flights and crews were awesome Thank you,positive
it was me who had the problem won flight ua I called and rebooked myself found my own hotel and taxi,negative
fuck you and your closed premier access lines at ORD Probably gonna miss my flightStart treating your customers better,negative
Dont worry you will,neutral
have been in call cue for hours No call yet Wife in cue for hours Got a call but was hung up on,negative
why do you hire POS pilots Thanks for ruining my trip and not allowing me to see my buddy as he turns unitedsucksdick,negative
my sister was supposed to leave at am to go back to AL Shes only getting to NC now Are you kidding me NeverflyUSairways,negative
my flight at BWI is delayed and I will miss my flight in Denver is there a way to find out if they will hold the plane,neutral
you are making me miss big snow in Montana Not cool,negative
would love to go to Hawaii to visit pearl harbor,neutral
bags arrived I sure miss the customer focused days when I used to fly Heres hoping wakes up,negative
that selfie was extreme,neutral
My flying United is oversorry The Captain still had minutes of preflight preparations to make while we sat with no air,negative
sure but the plane is an hour Late Flight Your ontime departure ship sailed away a long time back,negative
awaiting my return phone call just would prefer to use your online selfservice option,negative
SO to for coming in clutch and finally taking me home,neutral
It was the usually excellent SWA flight,positive
Super Spring Tides and Tide of The Century Drawing tourists to French and UK coasts,neutral
Were excited to have you fly with us JB When will this be Spring Break,positive
you guys Cancelled Flightled two of my flights yesterday and I checked the bag to Huntsville and it went missing in Philly,negative
no apologies required I made it home safe thanks to you Kudos to AA,positive
translation we dont reinvest our mammoth profits into the customer service experience Cause we dont care,negative
Thanks for the quick reply I travel a lotbut not that much lol,positive
Cancelled Flights my flight doesnt send an email text or call Now Im stranded in Louisville,negative
extremely upset that your baggage handlers decide to go in my luggage and take my belongings,negative
doesnt charge ticket change fees Do they not incur the same mysterious costs that you incur,negative
Only the JFK baggage office is open to help rebook all of us on Cancelled Flightled flight to DCA Shameful,negative
Any chance theres a few seats open from DEN to DAL this afternoon,neutral
did you have seen my message today About a mcdonnell Douglas dc model I will hear it if you read it Goodnight now,neutral
thanks for your assistanceyou guys ROCK,positive
Submitted hoping for quick decision tied to another donation we just received Proposal th Annual Gala Org Boundless Readers,neutral
can you follow me so I can send you the info,neutral
its painful being on hold to you Really minutes to change a flight,negative
Thanx for replying DM sent,positive
Its poor Flight management There is no reason why a scheduled pm flight to takr off At pm,negative
awesome thank you,positive
Those are very beautiful photos Thx Would marketing dept be interested in buying,positive
min response time Im impressed Im in Its official trueblue JetBlue gets social,positive
If a business decision is made that inconveniences and possibly causes lost customers is it a good business decision Cranky,negative
yes On a nonstop to Memphis tomorrow morning With the snow coming in I got my fingers crossed it will go,neutral
whats the easiest way to get a ticket receipt Can I get one at check in or can I get one online Thanks,neutral
No Just felt that you could do better in making the emails feel a little less of We dont care Were automated,negative
never fails to disappoint,negative
Lost bags Cancelled Flightled flights Delhi call centers Poor United staff spread thin and stressed You name it,negative
actually online indicates the only seating available is at a premium costwhy not allow seat selection at time of purchase,negative
Ever sit on hold and just lose track of time,negative
fails again saves the day,neutral
its not there we tried Its already here in cancun just no one has delivered it,negative
The wheel was broken when we got it We swear,negative
Im gonna ignore the fasten seatbelt sign and I want to see if ur man enough to do anything about it,negative
How can I check that I do not believe I was given a credit for that automatically,neutral
flight Cancelled Flightled My wife is stuck in Phoenix on the way from slc to san Thanks a lot southwest,negative
found a group of people who actually hates people more than ISIS thats right United Airlines,negative
I keep getting kicked to an error message when trying to purchase a flight on Have tried at least x,negative
yea a refund Your airline ruined our trip,negative
told to work it out ourselves joke fail,negative
I log in view reservations try view specific reservation amp takes me back to login page,negative
got off the phone w rep now flight has disappeared Locator IRRLCD she said I was rescheduled Help please,negative
Is flight on its way Was supposed to take off minutes ago Website still shows On Time not In Flight Thanks,neutral
thanks but the bags are only of what went wrong hours from DCA to SAN when there were no weather issues is not acceptable,negative
I do follow you,neutral
Why can we no longer change trips with a companion online Been doing it for years now get message cant be done online,negative
guys I need help my reservations tried calling and Im told to call Late Flightr Please help me here,negative
I have been waiting at this airport since am and have to wait until tomorrow and cannot get any sort of help,negative
now you change my gate and dont tell me What the fuck is wrong with you people Learn to do your fucken job,negative
Hi Thanks Do you have an exact link to that specific page on your site you can share or is it under Flight Status Thx,neutral
IT HAS BEEN FOUND THANK YOU,positive
Ok Thanks for your help,positive
your CSR in PHL suck Flt gets cxd i get rebooked to the next day On standby for Not hopeful,negative
tried a different flight IAHMNL flights are advertised for but are not bookable due to partner error,negative
How can I get a flight change while in the air Delays causing a missed connection again There is seat for Late Flightr,negative
ahhhh your silence is golden now This tops it all Anyone get fired,negative
No worries Delay was minor and dealt with nicely It was captain of flight by the way,positive
is alright with me Please give Scott F at BDL a bonus for excellent customer service,positive
me again you dont have ABC on Inflight TV do you If so what channel SharkTank is on,neutral
flights to Dfw Cancelled Flightled today,neutral
Thats what I planned on but Boston traffic due to recent weather was insane If I had been expedited I would have made it,neutral
annnnddddd Im going to lose my first class seat on the flight they shuffle me to,negative
Please REPLY How do you mess up my rebook TWICE,negative
even tho the extra lbs are still going on the plane just as a carry on Where is the sense What do you say to fat people,negative
iPhone App Adds Passbook Support Airlines Travel,neutral
yep certain it was on that flight,negative
Weather seriously cannot even be the only excuse at this point because it was awful service in the summer too Over it,negative
can they change to correct last name Did via reservations already but said cant change ticket name,neutral
Airways Sees Significant Decline in Short Interest JBLU WKRB News,neutral
can you provide direct assistance My colleague and I cannot rebook bc the ticket was booked via a corporate account help,negative
I feel sorry for AA,negative
thanks for the offer but I finally made it to my destination albeit hours Late Flight,negative
flight den to phx flight attdt decides to stay downtown and be an hour Late Flight so entire flight delayed she better get fired,negative
it would be nice if I could talk to an agent rather than get caught up w a promotion amp then be hung up on,negative
Gate traffic DCA MY flight arrived earlyconnecting flight leaving in minutes Several of us stuck HOLD THAT PLANE,negative
Really Sprint I thought you guys were kewl,neutral
from LGA to San Diego,neutral
Such as deodorant shampoo toothpaste Seems like that would be limited to oz correct,negative
need assistance getting an extension on a flight that has expired,neutral
nice know I paid a seat Then you sold my seat now I bought a rd seat Its a good scam but a scam all the same,negative
im in same boat am flight to Jacksonville Get me out of here,negative
thanks for NOT Sending me an update that our flight was delayed hours Unbelievable,negative
if I have credit from a flight I Cancelled Flightled does the new flt have to be booked by yr from orig purchase date or flown by that date,neutral
doesnt want me to get home,negative
you guys need live chat,negative
thanks for updating me about the hour delay the exact second I got to ATL,positive
This doesnt address my issue I am on hold for min to speak with an agent,negative
currently on board so not now Check in was terrible Staff rude Expensive luggage thrown around etc,negative
Your response has been incredible Truly amazed at the steps you have taken to enhance your customer relations Big thank you,positive
Thanks to Kevin and team at Fish at PHL for some great service recovery tonight Appreciate it,positive
After our unscheduled refueling stop and missing connecting flights we r home n looking ward to our bed and a big PBampJ sandwich,negative
can we make every VX plane with nerdbird Why should Austin be the only one getting nerd love,neutral
you should have assigned seating because now my cousin amp I probably cant sit together on our flight tomorrow Thanks,neutral
lost loyal customers and mileage plus card holders We could have driven to Florida from Pa quicker both ways Worst trip ever,negative
really hr delay gate changes amp you boarded us sent us back up amp boarded us again Wont change our flight Can we go now,negative
Just DMed you my confirmation number,neutral
the drunk guy you threw out of flight UA hrs ago is better off than the rest of us held up for hrs in the plane without food,negative
Nope Im on UA that was supposed to leave at but are still at the gate Apparently we are about to pull back and deice,negative
thank you for the confirmation Maybe people on my flight have directional dislexia,positive
cool picture of another VirginAmerica plane off our wing What a site,positive
Can I get some assistance Flight Cancelled Flightled today from PHX to DFW Not that Im hating But my job is concerned,negative
what a great experience on flight from SFO to JFK seats service food everything is top quality I will be back Very soon,positive
do you guys have wifi on international flights,neutral
Thanks for taking me back home today despite Pandoras best efforts to Cancelled Flight the flight jetblue backhome noplacelikehome,positive
Hate when I get bumped out of the seat Ive selected amp empty row and moved to another seat nonempty K flt nonupgrade,negative
Thanks Good times there and back Vodkatonics the entire flightsfo,positive
Whats going on with your website Im Flight Booking Problems three tickets today and Ive been booted off the system umpteen times,negative
no i use to skyscanner and travel agency and i called u You said you should call travel agency but,negative
yes Bags came hr after I arrived at baggage claim Awful experience on the ground at BHM,negative
loving the new planes and the lighting only wish windows were larger,positive
looks like our bag has been rescued Thanks,positive
Trying to find out if flight DFW to HOU is on tonight Exec platinum desk not calling back and online info not clear,negative
sucks Passengers leaving the plane to make room luggage checking luggage and getting back on Delayed flights to same city,negative
not completely Our flight was changed in July but we never received notification,negative
Thanks for the kind words Janna WeAppreciateYou TrueBlue and now IM feeling like a boss jetbluefame,positive
st u delay my flight for mechanical failurethen hrs on the runway amp hrs Late Flightr Im still here with a lost bag amp no resolution,negative
your hold music sounds like its from Super Mario Bros for gameboy color,neutral
thank you for checking in tickets are purchased and customer is happy,positive
ShoutOut Kristiesp from Gate PVD today Shes a RockStar was a tremendous help in a tough situation PromoteThatGirl,positive
unfortunately that doesnt help Just an automated computer,negative
when is next lax JFK flight today,neutral
now because you couldnt add my ktn which I asked for numerous times and no one answers the phone I missed my flightupset,negative
flying to Denver March st and my flight itenary keeps getting changed what the heckbooked the trip months ago,negative
thanks for getting me home from Denver tonight despite the snow,positive
is the worst airline Lost my luggage delayed my flights and has been very unaccomidating,negative
Still on hold Way to suck,negative
Loosing a lot of business by using Barclays I cant believe that you cant apply for a card if you live in Iowa,negative
Im going to start charging you for the consistent body pat downs Starting to feel like a piece of meat punishedforflying,negative
Apart from being on hold for over hours and having talked to people and the problem still not resolved,negative
Finally starting to come out minutes and no communication is not acceptable Letting me down today,negative
never had an airline refuse to help sit parents with tiny kids But this guy is willing to do it JetBlue,negative
But thanks for asking,positive
charging change a flight is a rip off the reason I have is out of my hands amp I want reschedule same flight but in July,negative
DTV doesnt work pilots Late Flight wont let yr old fly next me and I paid an upgrade unitedsucks,negative
how about after hrs at ORD another on the tarmac refuse to move me to an earlier flight you make it up to me iflyalot bs,negative
We invite to Fallow learn about our activitiesPrevention Programs of Health by CondomRito FamilyWe R CThanks,neutral
No crew at our gate,negative
pilot says that we are going to take off in minutes So maybe the systems came back online,neutral
promised rooms until Wednesday wentook and the hotel charged us per room because we had a pink paper needed white,negative
I am heading to JFK now just on principle alone to deal w my lost amp damaged bag jetblue jetbluesucks jfk badservice fail,negative
can I access Frankfurt arrival lounge when Im flying global first class,neutral
I somehow think Im going to be stuck paying for a hotel room in Denver without winter clothes on my dime I guess well see,negative
or at the very least an explanation on why no one told me my flight was Cancelled Flightled,negative
flight you had us stuck on the plane for nearly hrs Set to take off only for flight control to deny us THE WORST SERVICE,negative
Delayed hrs flight PITIAD finally board the plane sit half hour amp crew is at their hrs limit amp we deplane Unacceptable,negative
can take u to MidwayChicago March thApril th Cant make it then can get u to year round FlyPBI,neutral
sat at airport for hrs still sitting at gate Sigh,negative
Thanks for the responseTough night for all involved Our flight got Cancelled Flightled as we started taxiing down the runway,negative
please help me and my best friend get tickets to DestinationDragons we have so much to thank them for,neutral
you have my money you change my flight and dont answer your phones Any other suggestions so I can make my commitment,negative
frustrating indeed especially when no one knows what the issue is,negative
why are you the ONLY airline that is not flying out of BNA today,negative
Hi there looks like my connection is delayed too so Ill make it Thanks,positive
I have no interesting flying with you after this I will Cancelled Flight my next four flights I plannedneverflyvirginforbusiness,negative
Looks like On February we will open our schedule for sale through October know what time that will be,neutral
I spent more on the room amp transportation then I did the whole flight,negative
should give me free baggage for this mess,negative
I want to not sit on a plane from DCA to LGA for an hour and a half which is longer than my flight,negative
Thanks for the reminder of a few older flights Id taken and the easy access to add points to my new JB account Awesome service,positive
FAA invest near miss on OHare runway last wk,neutral
two were non revs right,neutral
offered to pay for tix at the airport BC we were never told that our reservation didnt go through Was told I could pay pp,negative
Im on the flight finally in the air Not enough food to feed customers No movie or entertainment on a hr flight,negative
got it wish they would communicate more w us,negative
been calling all morning Still cant get through I need to chge a flight that is this week,negative
It takes hours to fly from Chicago to Beijing on United and to fly from Vegas to Omaha on SW,neutral
thankyou the DALAUS route makes my day,positive
Customer Centricity is knowing people ANAMarketers,positive
you guys suck You delay flights but cant hold the connectors minutes WorstAirlineEver,negative
Im sure all these birds will be in warmer weather soon,neutral
btw her name was Samantha and she won over everyone on the flight,positive
Great landing in Denver next Rapid City Snow starting to fallFlorida Everglades is a faint sunburn awayhere comes the cold,positive
yes slc on,neutral
Flight today from PHL to DAL Cancelled Flightled min on hold rebooked for tomorrow Now that flight is Cancelled Flightled On hold again,negative
airlines delayed our flight on the way to Chicago and leaving Chicago Next time it is,negative
hey Im flying from Tampa to Denver today and I want to know if there will be tvs in the seats like,neutral
flight from bos to Tampa takeoff min Late Flight,negative
not sure why we are still here in Dallas Plane has been at gate for min No update at all Flight poor service,negative
I see you coming to get me and in Hawaii thMan,neutral
I have flights that dont appear to have been applied to my MileagePlus account Can you help,neutral
achieves a second year of profitability despite revenue pressure,neutral
please send help ASAP to on flight to Chicago seat c Airlines,negative
Finally got through after hours and all set Thanks,negative
so far Ive gotten six different answers,negative
this is ridiculous Its been hours on hold to rebook Cancelled Flightled flight,negative
I already follow you and cant DM because u need to follow me back,negative
I wonder if sharing all this on FB and insta would produce a number characters really limits my story telling,negative
fail southwest changes my flight to a different time and city and blames it on me They wont correct it furious,negative
You Make the Reservation Well Make the Excuses usairwaysfail,negative
common keep your paper work ready and dont delay our flightsand meetings,negative
minutes on hold so far And still havent spoke to a human Never using you again,negative
To announce DURING BOARDING that you chose to limit catering to the point that you WILL run out shows a lack of planning IMO,negative
who do I contact about my awful experience I had with Flight BUFCLT,negative
our flight is delayed till tomorrow curse the weather,negative
what are my chances of making a connection to El Paso AA with DFW from SAT AA delayed minutes,negative
huge problem with someone whose ticket was Cancelled Flighted mid trip Can you DM,negative
exactly How Ive been disconnected times,negative
Did I mention that I was ON THE PLANE so is my luggage My luggage that Im not going to have for how many days,negative
s new CEO seeks the right balance to please passengers and Wall Daily Journal,neutral
where we trick you into making us look popular on Twitter by being the worst airline wellplayed jokesonus,negative
followed and messaged Thanks so much for the help,positive
yes Thank you Oct oct,positive
so the seat next to me B on flight to Seattle has a tray table that is falling off,negative
is flight dfw to gsp going to be Cancelled Flightled tomorrow,negative
Umm so no reason as to why this is Is there someone different I should contact or contact me to get a definitive answer,negative
you are the worst,negative
would have been nice if the agents were at the very least courteous since the delay was AAs fault,negative
gates were DEFINITELY NOT FULL We were parked and wheels were chocked Customer service called it an UNMET ARRIVAL,negative
Thank you so much for your help with my birthday trip Tickets are confirmed,positive
hows a direct flight FLLgtSFO have unexpected layover in Vegas fuel yet peeps next to me bought for Vegas flight sneaky,negative
you respond to my friend but you cant respond directly to me,negative
PDX to JFK was suuuuper HOT,positive
I guess But what is the excuse for understaffed costumer services people had to deal with lots of angry passengers Weather too,negative
planning on it Btw excellent service and crew from DCA through SJU into SXM,positive
how do I get my companion pass,neutral
Ph the pat answers are BS After I was denied boarding it sat at the gate until Your employees totally suck,negative
just informed you dont reimburse for issues due to weather this is why your flights keep getting Cancelled FlightledThor hates you,negative
Cancelled Flightled my flight and Im stranded in St Louis Not sure what to do No other flight until tomorrow Am I to sleep in airpt,negative
I have sent letter after letter and get back nothing but form letters and half baked replys usairwaysssuck,negative
Seats gvn away strangers in Chicago Rented van Drove to toledo No help no offer no hotel,negative
sure thank you,positive
Painless and effortless flight from Indy to PHL Our flight attendant Tory was fantastic Give that lady a raise ASAP,positive
not able to DM you my confirmation number,negative
A whole family with a special Olympic athlete here and you cant even call them,negative
Best airline name ever Whenever I see it I want to get on their plane to blue skies amp sea And they DELIVER on that promise,positive
no I havent done that yet Is that something I can do online Thx,negative
is moving the plane to the end of the runway for us to sit on it for an hour and a half They didnt even let us off,negative
Did yall get rid of the Austin to Cabo flights all together Theres zero nonstop in Aug and Sept,negative
Looking for a reason to travel quote,positive
when will the merging of miles between you and be complete Wasnt it this month,neutral
No one answers your reservation phone line I need to book travel with a companion certificate How do I get through,negative
called back and Ive been on hold What is the issue I have a confirmation number and an email that shows how much Ive paid,negative
no Other than being on my credit card statement I have not received anything from you and so I have no way to look it up myself,negative
Btw thanks for responding quickly,positive
to CLT from JFK nasty planes dirty seats amp floors rude flight attendants hopefully AA can get you cleaned up disgusting vile,negative
great crew for flight PHX to YVR tonight Friendly efficient Awesome job,positive
Well you guys are totally kicking a million pounds of ass Bar none the best SM team in the airline industry in my opinion,positive
yup feet But no selfie,neutral
Ahah That is why I love SW,positive
emailed AAdvantage for status match still waiting Cant wait to move from but help me out here,negative
you hung up on me again,negative
No I watched these bags be abandoned at depart gate Watched for gt mins until owner returned mins after I reported,negative
honestly how is it quickly as possible Ive been on hold sine pm Everyone that answers has to send me to someone else,negative
On hold with airline min and counting Service is terrible,negative
thanks for your helpgot me what I need but its an issue with I guess I sit awhile longer,positive
Our flight was originally supposed to leave at pm amp now we wont leave until This is the nd time this has happened,negative
Was on NH on United ticket rerouted to IAD due to weather in JFK Can you get us home on United or,neutral
Ive been trying to get through to book a reservation and the system will not let me through Day ridiculous,negative
add wifi entertainment and the old seats and ill come back,negative
Just be honest with your customers The new seats are designed to fit more rows on the plane More rows more money,negative
weve been waiting at the gate for hrs why are we now waiting to stow the luggage,negative
unfortunately they didnt I asked the staff if they could help they said we should ask ppl in our row to switch but no one would,negative
get your act right You just lost customers because your staff wouldnt let us take our approved carryon on a half empty flight,negative
everyone is overreacting Keep up your swag,neutral
thanks for making miss connection getting rebooked missing that too and a miserable day Started my day am for nothing,negative
Yes please,positive
I tried to check in but they redirect me to call in to which I also cant get into contact with,negative
how do you stay in business with such poor service poorservice notgoodenough,negative
yes I do,neutral
Cancelled Flightled the last part of a ticket and am confused from the email I received whether value remains Is there someone I can ask,neutral
you Cancelled Flight both flights yesterday and rebook me in middle seat Not acceptable Upgrade to emergency row would help nothappy,negative
SFOPDX schedule is still MIA,negative
Can I use an SWU on an Finnair codeshare of an American operated flight JFKMAN Thanks in advance for the help,neutral
My wife amp infant daughter are on AA ABIDFW En route but delayed Can yall hold AA to RDU so they can connect,negative
days and hours on hold the other day Charge me double for flights and cant even fix it Worst service Ive ever had,negative
Way to suck at customer service Dallas is trapped in an ice storm but you didnt Cancelled Flight am flight amp been on hold all day,negative
Youre right Someone is up to something,neutral
dont worry you wont steal my money again,negative
weather is unavoidable Understaffing is controllable,negative
is that one on the picture,neutral
got transf to Dividend Milesneed to change flight Grandma just passed need to change ticket ASAP Update on wait time,neutral
the worst first class boarding service I ever had,negative
membership has no privileges anymore my son is in the army short window to see him NO help,negative
I have submitted my request I would appreciate a call by am eastern Thank you,neutral
please thank Mellie at CAE Tammy in baggage claim at CLT excellent customer service day BUT I have a complaint,positive
back for the expensive holiday he worked all year to pay for that you RUINED We want compensation amp his original case back,negative
Very impressed so far An app thats worth a damn and sms updates on my flight,positive
oh great after a hour delay we get to sit on the plane for another hour without it moving Flight has been awful,negative
FIND A WAY TO Cancelled Flight FLIGHT,negative
Fabulous thank you so much Looking forward to taking to the skies with you,positive
I think its a little weak sauce you have zero inflight entertainment for a hour flight from Salt Lake to Philadelphia,negative
if you get my bag from E Gate to B Gate at the Charlotte airport before my pm flight Late Flight cause of yall Ill ride US for life,negative
ripped my suitcase I then was yelled at with attitude from Geraldine your employee at the baggage centerWorst airline jetblue,negative
thanks for a terrible experience at EWR Customers should be treated as a priority not as an inconvenience tryagain,negative
All followers please note that is not taking customer service calls nor responding by helping via soc media dontflyusairways,negative
discount for three delays,negative
absolutely no worries Im just never flying with you again Ever Even I have to hitch hike cross country passengersarepeople,negative
Not good On hold for over an hour,negative
No I have not,negative
system failure again bad trend Software projects are like flying an airplane theres no such thing as an emergency takeoff,negative
thanks for the response I know its not your fault But Im in ORD in T and hungry if you want to stop by,negative
Thank you Much appreciated,positive
youre good Thank you,positive
flight was Cancelled Flightled to Buf today Waited in line for hrs amp cus service was rude No flight until Tues Need to get to ROC,negative
is flight on moved back When I booked it said we arrive but now it says,negative
amazing service by your SW stewardesses From den to Cun and from CUN to Atl and atl to lax Thank u,positive
Ill never fly you again due to the emotional amp financial stress you have caused me because of one of your staff members errors,negative
trying to book flight wmiles Was on hold for m before I gave up Need to get on same flight using two diff and pay tix,negative
on delayed flight from Phil to stt and looks like well miss the car ferry to at john where our lodging is Help with housing,negative
who should I contact about a missing Rapid Rewards credit,neutral
Leave BUR ten minutes Late Flight and arrive in SJC a minute before we were supposed to Impressed gettingbetter,positive
airlines is the absolute worst They have no idea what they are doing neveragain UnitedAirlines,negative
My GF lost the promise ring I gave her on flight SFOgtSNA Its an infinity silver band ring Please help,neutral
makes flying for fun Flight crew just led the plane in singing happy birthday to one of our guys LuvInTheAir,positive
today my family gets to experience mosaic status w me LifeIsGood,positive
has the WORST customer svcs This Kevin rep at call center must be investigated My baggages lost and theres no help but argument,negative
hour delay Nothing says sorry like a voucher Missing time with family family precioustime,negative
seriously did you not see that Ive spent days for multiple hours on hold just to have to hang up after the hours,negative
do you think there Will problems at Newark NJ on Saturday due to expected snow,neutral
Group Cancelled Flights close to a thousand flights Monday,neutral
why are you the only airlines to Cancelled Flight all flights into BNA Been stranded in philly for days Hoping to get out in the AM,negative
horrible service wrong plane arrived many confirmed passengers could not get on flight we paid for due to lack of seats flight,negative
didnt work Flyfi plus couldnt access ABC app So I spent and still missed Oscars disappointed,negative
your customer service is lacking and you owe me a camera I also appreciate not being interrupted every time I speak Thanks,negative
thats not an apology Say it,negative
when will airfare be available through December of this year I have major trips coming up and Im anxious to book them,negative
Only at Newark can you land minutes early but lose all that time waiting on tarmac for a gate,negative
not in any way that I am happy with or find acceptable If I could speak to a human maybe that would happen,negative
Sorry Thought I did Its done now,neutral
loses my luggage and loses my reservation after a hour travel day I just want to get to in the am,negative
I get that But doing it by giving inaccuratemisleading info doesnt seem like a great way to do it hopethegearmakesitintact,negative
my flight is Cancelled Flightled and you guys arent Answering the phones what do I do,negative
wow Flight Cancelled Flightled slept on the floor at the airport and now flight delayed,negative
them and,negative
Yesterday Im sorted now,neutral
See We were told repeatedly that the pilot was Late Flight and kept getting Late Flightr After we boarded there was a defibrillator issue,negative
next time I will not volunteer to let you gate check my bag for space since you obviously cant deliver it in a timely manner,negative
the refund request functionality on is brokeni get a time out error,negative
you cant change my flights and not have enough operators to handle calls unacceptable AmericanAirlines,negative
Call me when you do and well have to hook up,neutral
FINALLY A Passbook option for the SWA App Thank you,positive
If you follow me I will be able to DM you Thanks,positive
My guessflight is going to be Cancelled Flightled because there are empty seats and those who confirmed are not important frustrated,negative
u have a lot of pissed off hungry tired people stuck at midway over hours after scheduled departure This is inexcusable,negative
this feels nice what weve got going on here Lets just swap me out with the fool in a and we can make it all better,neutral
Thank you Margo at Houstons Bush Intercontinental for getting me home earlier,positive
This shits gotta stop RT Our fleets on fleek,negative
why is my flight delayed hours This is insane Every other flight has made it to NYC,negative
open seating is like an open marriage theres so much love for strangers,positive
I was in Nashville and I had to drive and a half hours to Memphis but I made it as the plane was loading,negative
after waiting for a delayed plane we sat on the plane for an hour waiting for a Late Flight passenger Thats BS too,negative
went to purchase a flight that I began processing not even minutes earlier and the points had gone up any help,negative
yes for tomorrow at am But I have to work though Im really mad about the situation,negative
Ive been on hold mins to Cancelled Flight my reservation for this afternoon Is there another way Web tells me to call,negative
do you have special fares for students to visit prospective schools Its expensive to visit graduate programs,neutral
bad weather and multiple Cancelled Flighted flights has us all scared Noted for next time,negative
at what point do u Cancelled Flight flights to DCA other airlines have already Cancelled Flightled,negative
or your staff could try not throwing the luggage around,negative
no they did not want to deliver at my house Had to go to sombrons else house,negative
You Cancelled Flight my flight and theres no way to rebook on the website or app I have to wait minutes on hold fail cc,negative
Bought a round trip to Chicago two days agotoday the same flight is half that Is there any way for me to get that discount,neutral
worst experience of all time Will never ever ever travel with you again EVER,negative
I already landed But if you still care it was Thanks for the help though do you k ow what caused the failure,neutral
I just got hanged up on trying to get to an agent Can you help,negative
how do I reserve my seat on the AA flight I transfer to from ORD to EVV,neutral
thank you I flew into Newark from VailEagle,positive
understood but could I go and put myself on the standby list hours prior to my flight,negative
we dont need anybody else,positive
I guess I was one of the select few that hadnt had many problems before this and all the sudden my whole trip got jacked,negative
she should not only get a refund but also an apology for the deplorable service,negative
Im very frustrated and have wasted days now due to your equipment failures,negative
narrowly made standbylots of snags this trip,negative
I am following you now,neutral
Left item n the seatback on UA Is there any way to call DCA to ask if they have the item Already submitted lost amp found report,neutral
can amp I use your luggage scale to measure our weight loss One scale for each foot home is not accurate anymore,negative
has employees on Social Care Team staff the Listening Ctr at any timerest of spots filled by other areas RaganDisney,neutral
flight attendant was hesitant to give me more baby sized cookies,negative
my return flight is scheduled on Wednesday AA I believe Thanks for the help,positive
right Are you guys charging for the air we breathe next,negative
